imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
12,FAST,5244,ORB,1874,8.95978,11.9311
13,FAST,5231,ORB,1817,9.96439,11.6857
14,FAST,5286,ORB,1883,9.59863,12.2294
15,FAST,5464,ORB,1945,8.57352,11.2758
16,FAST,5464,ORB,2012,9.51617,11.232
17,FAST,5563,ORB,2017,9.54658,11.1393
18,FAST,5497,ORB,2043,8.3988,12.3043
imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
0,ORB,500,ORB,,,
1,ORB,500,ORB,210,12.5156,13.3044
2,ORB,500,ORB,218,12.6142,11.2445
3,ORB,500,ORB,197,14.091,13.4299
4,ORB,500,ORB,230,16.6894,30.6455
5,ORB,500,ORB,214,15.9082,25.7718
6,ORB,500,ORB,240,12.6787,-inf
7,ORB,500,ORB,242,11.9844,-inf
8,ORB,500,ORB,212,13.1241,10.6963
9,ORB,500,ORB,206,13.0241,-inf
10,ORB,500,ORB,194,11.1746,-inf
11,ORB,500,ORB,223,12.8086,9.2983
12,ORB,500,ORB,228,8.95978,-inf
13,ORB,500,ORB,203,9.96439,11.4121
14,ORB,500,ORB,239,9.59863,13.6263
15,ORB,500,ORB,241,8.57352,-inf
16,ORB,500,ORB,209,9.51617,15.1256
17,ORB,500,ORB,220,9.54658,9.93794
18,ORB,500,ORB,227,8.3988,21.5083
imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
0,AKAZE,1513,ORB,,,
1,AKAZE,1541,ORB,580,12.5156,12.454
2,AKAZE,1529,ORB,559,12.6142,15.421
3,AKAZE,1561,ORB,569,14.091,13.4585
4,AKAZE,1545,ORB,586,16.6894,14.2197
5,AKAZE,1526,ORB,616,15.9082,14.5458
6,AKAZE,1566,ORB,582,12.6787,12.9342
7,AKAZE,1529,ORB,613,11.9844,15.9267
8,AKAZE,1547,ORB,625,13.1241,13.9909
9,AKAZE,1572,ORB,586,13.0241,13.1142
10,AKAZE,1567,ORB,582,11.1746,12.427
11,AKAZE,1538,ORB,569,12.8086,11.6066
12,AKAZE,1513,ORB,581,8.95978,11.5922
13,AKAZE,1538,ORB,603,9.96439,10.9395
14,AKAZE,1555,ORB,594,9.59863,11.8913
15,AKAZE,1544,ORB,631,8.57352,10.9724
16,AKAZE,1563,ORB,624,9.51617,10.7243
17,AKAZE,1561,ORB,620,9.54658,9.04355
18,AKAZE,1569,ORB,664,8.3988,8.76905
imgIdx,detectorType,keypoints#,descriptorType,matches#,ttcLidar,ttcCamera
0,BRISK,2896,FREAK,,,
1,BRISK,3000,FREAK,946,12.5156,11.2369
2,BRISK,2974,FREAK,951,12.6142,16.8707
3,BRISK,2953,FREAK,998,14.091,12.3782
4,BRISK,2855,FREAK,937,16.6894,15.0851
5,BRISK,2906,FREAK,944,15.9082,26.3307
